"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 12:23:59 GMT 2022","Wed Sep 07 12:24:00 GMT 2022","827","","tests.internet.DragAndDropTest","","tests.internet.DragAndDropTest","rectangleSwap","rectangleSwap()",""
"passed","Wed Sep 07 12:23:28 GMT 2022","Wed Sep 07 12:23:30 GMT 2022","2357","","tests.github.GitHubCheckIssuesWithListenerTest","","tests.github.GitHubCheckIssuesWithListenerTest","testIssueSearch","testIssueSearch()",""
"passed","Wed Sep 07 12:23:45 GMT 2022","Wed Sep 07 12:23:59 GMT 2022","13928","","tests.github.GitHubPricingTest","","tests.github.GitHubPricingTest","comparePlans","comparePlans()",""
"passed","Wed Sep 07 12:23:20 GMT 2022","Wed Sep 07 12:23:28 GMT 2022","7914","","tests.github.GitHubCheckIssuesWithLambdaTest","","tests.github.GitHubCheckIssuesWithLambdaTest","testIssueSearch","testIssueSearch()",""
"passed","Wed Sep 07 12:23:30 GMT 2022","Wed Sep 07 12:23:45 GMT 2022","14627","","tests.github.GitHubCheckIssuesWithStepsTest","","tests.github.GitHubCheckIssuesWithStepsTest","testIssueSearch","testIssueSearch()",""
