"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 18:42:39 GMT 2022","Tue Dec 20 18:42:42 GMT 2022","2597","","tests.github.GitHubCheckIssuesWithListenerTest","","tests.github.GitHubCheckIssuesWithListenerTest","testIssueSearch","Search repo with Listener in test",""
"passed","Tue Dec 20 18:42:45 GMT 2022","Tue Dec 20 18:42:49 GMT 2022","3587","","tests.github.GitHubPricingTest","","tests.github.GitHubPricingTest","comparePlans","Pricing page check header",""
"passed","Tue Dec 20 18:42:49 GMT 2022","Tue Dec 20 18:42:49 GMT 2022","556","","tests.internet.DragAndDropTest","","tests.internet.DragAndDropTest","rectangleSwap","rectangleSwap()",""
"passed","Tue Dec 20 18:42:42 GMT 2022","Tue Dec 20 18:42:45 GMT 2022","3237","","tests.github.GitHubCheckIssuesWithStepsTest","","tests.github.GitHubCheckIssuesWithStepsTest","testIssueSearch","Search repo with steps @Step",""
"passed","Tue Dec 20 18:42:33 GMT 2022","Tue Dec 20 18:42:39 GMT 2022","6222","","tests.github.GitHubCheckIssuesWithLambdaTest","","tests.github.GitHubCheckIssuesWithLambdaTest","testIssueSearch","Search repo with Lambda steps in test",""
