"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 09:16:51 GMT 2022","Thu Sep 15 09:16:54 GMT 2022","3241","","tests.github.GitHubCheckIssuesWithListenerTest","","tests.github.GitHubCheckIssuesWithListenerTest","testIssueSearch","Search repo with Listener in test",""
"passed","Thu Sep 15 09:17:08 GMT 2022","Thu Sep 15 09:17:19 GMT 2022","11477","","tests.github.GitHubPricingTest","","tests.github.GitHubPricingTest","comparePlans","Pricing page check header",""
"passed","Thu Sep 15 09:17:19 GMT 2022","Thu Sep 15 09:17:21 GMT 2022","1151","","tests.internet.DragAndDropTest","","tests.internet.DragAndDropTest","rectangleSwap","rectangleSwap()",""
"passed","Thu Sep 15 09:16:54 GMT 2022","Thu Sep 15 09:17:08 GMT 2022","13714","","tests.github.GitHubCheckIssuesWithStepsTest","","tests.github.GitHubCheckIssuesWithStepsTest","testIssueSearch","Search repo with steps @Step",""
"passed","Thu Sep 15 09:16:41 GMT 2022","Thu Sep 15 09:16:51 GMT 2022","9709","","tests.github.GitHubCheckIssuesWithLambdaTest","","tests.github.GitHubCheckIssuesWithLambdaTest","testIssueSearch","Search repo with Lambda steps in test",""
